Day,Weather,Temperature,Humidity,Wind,Play_Sports?
Day 1,Sunny,Hot,High,Weak,No
Day 2,Sunny,Hot,High,Strong,No
Day 3,Cloudy,Hot,High,Weak,Yes
Day 4,Rain,Mild,High,Weak,Yes
Day 5,Rain,Cool,Normal,Weak,Yes
Day 6,Rain,Cool,Normal,Strong,No
Day 7,Cloudy,Cool,Normal,Strong,Yes
Day 8,Sunny,Mild,High,Weak,No
Day 9,Sunny,Cool,Normal,Weak,Yes
Day 10,Rain,Mild,Normal,Weak,Yes
Day 11,Sunny,Mild,Normal,Strong,Yes
Day 12,Cloudy,Mild,High,Strong,Yes
Day 13,Cloudy,Hot,Normal,Weak,Yes
Day 14,Rain,Mild,High,Strong,No
